Method1,Method2,Metric,Size,Test_Type,P_Value,Decision,Subject
codon,cpp,mem_usage,medium,Wilcoxon,0.00700066342856568,Reject H0,binary_trees
codon,python,mem_usage,large,Wilcoxon,9.8085563443497e-4,Reject H0,binary_trees
codon,cpp,mem_usage,large,Wilcoxon,5.6511869524076e-4,Reject H0,binary_trees
codon,python,mem_usage,small,Wilcoxon,NA,NA,fasta
codon,cpp,mem_usage,small,Wilcoxon,NA,NA,fasta
codon,python,mem_usage,medium,Wilcoxon,NA,NA,fasta
codon,cpp,mem_usage,medium,Wilcoxon,NA,NA,fasta
codon,python,mem_usage,large,Wilcoxon,NA,NA,fasta
codon,cpp,mem_usage,large,Wilcoxon,NA,NA,fasta
codon,python,mem_usage,small,Wilcoxon,2.16501764489381e-5,Reject H0,float
codon,cpp,mem_usage,small,Wilcoxon,1.7482517482517e-4,Reject H0,float
codon,python,mem_usage,medium,T-test,7.64791520704366e-16,Reject H0,float
codon,cpp,mem_usage,medium,Wilcoxon,9.30972271575e-4,Reject H0,float
codon,python,mem_usage,large,Wilcoxon,4.11353352529823e-5,Reject H0,float
codon,cpp,mem_usage,large,Wilcoxon,4.0946010885315e-4,Reject H0,float
codon,python,mem_usage,small,Wilcoxon,NA,NA,mandelbrot
codon,cpp,mem_usage,small,Wilcoxon,NA,NA,mandelbrot
codon,python,mem_usage,medium,Wilcoxon,2.1655133226546e-4,Reject H0,mandelbrot
codon,cpp,mem_usage,medium,Wilcoxon,0.0576493924295947,Fail to reject H0,mandelbrot
codon,python,mem_usage,large,Wilcoxon,0.00133479083101299,Reject H0,mandelbrot
codon,cpp,mem_usage,large,Wilcoxon,1.9693539864786e-4,Reject H0,mandelbrot
codon,python,mem_usage,small,Wilcoxon,NA,NA,nbody
codon,cpp,mem_usage,small,Wilcoxon,NA,NA,nbody
codon,python,mem_usage,medium,Wilcoxon,NA,NA,nbody
codon,cpp,mem_usage,medium,Wilcoxon,NA,NA,nbody
codon,python,mem_usage,large,Wilcoxon,NA,NA,nbody
codon,cpp,mem_usage,large,Wilcoxon,NA,NA,nbody
codon,python,mem_usage,small,Wilcoxon,4.1593830740483e-4,Reject H0,nsieve
codon,cpp,mem_usage,small,Wilcoxon,4.2234163841916e-4,Reject H0,nsieve
codon,python,mem_usage,medium,Wilcoxon,0.00206877862166875,Reject H0,nsieve
codon,cpp,mem_usage,medium,Wilcoxon,0.00109393426268204,Reject H0,nsieve
codon,python,mem_usage,large,Wilcoxon,0.00143159048260136,Reject H0,nsieve
codon,cpp,mem_usage,large,Wilcoxon,0.00137573578468112,Reject H0,nsieve
codon,python,mem_usage,small,Wilcoxon,NA,NA,set_partition
codon,cpp,mem_usage,small,Wilcoxon,NA,NA,set_partition
codon,python,mem_usage,medium,Wilcoxon,NA,NA,set_partition
codon,cpp,mem_usage,medium,Wilcoxon,NA,NA,set_partition
codon,python,mem_usage,large,Wilcoxon,NA,NA,set_partition
codon,cpp,mem_usage,large,Wilcoxon,NA,NA,set_partition
codon,python,mem_usage,small,Wilcoxon,NA,NA,spectral_norm
codon,cpp,mem_usage,small,Wilcoxon,NA,NA,spectral_norm
codon,python,mem_usage,medium,Wilcoxon,NA,NA,spectral_norm
codon,cpp,mem_usage,medium,Wilcoxon,NA,NA,spectral_norm
codon,python,mem_usage,large,Wilcoxon,NA,NA,spectral_norm
codon,cpp,mem_usage,large,Wilcoxon,NA,NA,spectral_norm
codon,python,mem_usage,small,Wilcoxon,4.4258635136815e-4,Reject H0,taq
codon,cpp,mem_usage,small,Wilcoxon,4.3656314113164e-4,Reject H0,taq
codon,python,mem_usage,medium,Wilcoxon,2.7625915088534e-4,Reject H0,taq
codon,cpp,mem_usage,medium,Wilcoxon,6.2579007964225e-4,Reject H0,taq
codon,python,mem_usage,large,Wilcoxon,4.3956745417824e-4,Reject H0,taq
codon,cpp,mem_usage,large,Wilcoxon,6.1617551802733e-4,Reject H0,taq
